iso3,city,country,population,city_ascii,lng,lat
BGD,Comilla,Bangladesh,296010,Comilla,91.2,23.45
TUR,Kocaeli,Turkey,294875,Kocaeli,29.9406,40.7656
AGO,Vila Teixeira da Silva,Angola,294494,Vila Teixeira da Silva,15.8556,-12.1958
BGD,Rangpur,Bangladesh,294265,Rangpur,89.2444,25.75
EGY,Ismailia,Egypt,293184,Ismailia,32.2667,30.5833
SEN,Thiès,Senegal,293001,Thies,-16.9167,14.7833
TZA,Mbeya,Tanzania,291649,Mbeya,33.45,-8.9
CMR,Bafoussam,Cameroon,290768,Bafoussam,10.4167,5.4667
ROU,Braşov,Romania,290743,Brasov,25.6,45.65
KAZ,Atyraū,Kazakhstan,290700,Atyrau,51.8833,47.1167
DZA,Batna,Algeria,290645,Batna,6.1667,35.55
ROU,Iaşi,Romania,290422,Iasi,27.5889,47.1622
FRA,Montpellier,France,290053,Montpellier,3.8772,43.6119
TUR,Adana,Turkey,289919,Adana,35.325,37
AUT,Graz,Austria,289440,Graz,15.4386,47.0708
UZB,Farg‘ona,Uzbekistan,288850,Farg`ona,71.7864,40.3864
LTU,Kaunas,Lithuania,288466,Kaunas,23.9333,54.9
DZA,Sétif,Algeria,288461,Setif,5.41,36.19
GHA,Sekondi,Ghana,286248,Sekondi,-1.704,4.9433
CIV,Korhogo,Côte d'Ivoire,286071,Korhogo,-5.6294,9.4578
EGY,Az Zaqāzīq,Egypt,285097,Az Zaqaziq,31.5167,30.5833
CZE,Ostrava,Czechia,284982,Ostrava,18.2925,49.8356
FRA,Strasbourg,France,284677,Strasbourg,7.7458,48.5833
MMR,Bago,Myanmar,284179,Bago,96.4981,17.3433
ROU,Constanţa,Romania,283872,Constanta,28.6383,44.1733
CHL,Temuco,Chile,282415,Temuco,-72.5901,-38.7399
KGZ,Osh,Kyrgyzstan,281900,Osh,72.7833,40.5333
ISR,Haifa,Israel,281087,Haifa,34.9833,32.8
UZB,Bukhara,Uzbekistan,280187,Bukhara,64.4286,39.7747
ETH,Dire Dawa,Ethiopia,277000,Dire Dawa,41.8667,9.5833
UZB,Qarshi,Uzbekistan,274891,Qarshi,65.8,38.8667
TUN,Sfax,Tunisia,272801,Sfax,10.76,34.74
SYR,Dayr az Zawr,Syria,271800,Dayr az Zawr,40.15,35.3333
ECU,Santo Domingo de los Colorados,Ecuador,270875,Santo Domingo de los Colorados,-79.1719,-0.2542
CMR,Bamenda,Cameroon,269530,Bamenda,10.1667,5.9333
ROU,Craiova,Romania,269506,Craiova,23.8167,44.3333
SWE,Malmö,Sweden,269349,Malmo,13.0333,55.5833
BGD,Brāhmanbāria,Bangladesh,268279,Brahmanbaria,91.1,23.9667
EGY,Aswān,Egypt,267913,Aswan,32.8997,24.0889
NER,Maradi,Niger,267249,Maradi,7.1,13.5
MMR,Myeik,Myanmar,266720,Myeik,98.6003,12.4394
DZA,Djelfa,Algeria,265833,Djelfa,3.25,34.6667
BOL,Oruro,Bolivia,264683,Oruro,-67.1167,-17.9667
AFG,Tāluqān,Afghanistan,263800,Taluqan,69.5167,36.7167
AFG,Jalālābād,Afghanistan,263312,Jalalabad,70.4528,34.4303
AUS,Wollongong,Australia,261896,Wollongong,150.8831,-34.4331
ITA,Venice,Italy,261321,Venice,12.3319,45.4397
AFG,Kunduz,Afghanistan,259809,Kunduz,68.8725,36.728
LBY,Mişrātah,Libya,259056,Misratah,15.0901,32.3778
DZA,Annaba,Algeria,257359,Annaba,7.7667,36.9
MDG,Antsirabe,Madagascar,257163,Antsirabe,47.0333,-19.8667
NOR,Bergen,Norway,257087,Bergen,5.3233,60.3925
FRA,Bordeaux,France,257068,Bordeaux,-0.58,44.84
CIV,Daloa,Côte d'Ivoire,255168,Daloa,-6.45,6.89
GTM,San Pedro Carchá,Guatemala,255006,San Pedro Carcha,-90.312,15.4768
TUR,Kütahya,Turkey,253335,Kutahya,29.9833,39.4242
SDN,El Fasher,Sudan,252609,El Fasher,25.35,13.63
PRK,Kanggye,North Korea,251971,Kanggye,126.6,40.9667
TWN,Chiayi,Taiwan,251938,Chiayi,120.4497,23.48
DOM,Higüey,Dominican Republic,251243,Higuey,-68.7111,18.6181
GNQ,Bata,Equatorial Guinea,250770,Bata,9.77,1.865
UGA,Arua,Uganda,250000,Arua,30.91,3.03
LBY,Al Bayḑā’,Libya,250000,Al Bayda',21.755,32.7628
SDN,Kurmuk,Sudan,250000,Kurmuk,34.2848,10.5563
ROU,Galaţi,Romania,249432,Galati,28.0425,45.4233
CUB,Santa Clara,Cuba,247436,Santa Clara,-79.9531,22.4067
BGD,Jessore,Bangladesh,243987,Jessore,89.2,23.1704
TZA,Tanga,Tanzania,243580,Tanga,39.1,-5.0667
ETH,Bahir Dar,Ethiopia,243300,Bahir Dar,37.39,11.585
MMR,Myitkyina,Myanmar,243031,Myitkyina,97.3936,25.3867
NPL,Birāṭnagar,Nepal,242548,Biratnagar,87.2833,26.4833
MOZ,Chimoio,Mozambique,238976,Chimoio,33.45,-19.1167
SVK,Košice,Slovakia,238593,Kosice,21.25,48.7167
DNK,Aarhus,Denmark,237551,Aarhus,10.2107,56.1572
MMR,Pathein,Myanmar,237089,Pathein,94.7333,16.7667
CMR,Garoua,Cameroon,235996,Garoua,13.4,9.3
NER,Zinder,Niger,235605,Zinder,8.9833,13.8
CUB,Bayamo,Cuba,235107,Bayamo,-76.6428,20.3817
CYP,Limassol,Cyprus,235056,Limassol,33.0443,34.675
SLE,Bo,Sierra Leone,233684,Bo,-11.74,7.9564
FRA,Lille,France,233098,Lille,3.0583,50.6278
NLD,Eindhoven,Netherlands,231642,Eindhoven,5.4842,51.4344
CHL,Rancagua,Chile,231370,Rancagua,-70.7398,-34.1654
ECU,Machala,Ecuador,231260,Machala,-79.9667,-3.2667
SOM,Marka,Somalia,230100,Marka,44.7703,1.7156
CUB,Guantánamo,Cuba,228436,Guantanamo,-75.2061,20.1383
TKM,Daşoguz,Turkmenistan,227184,Dasoguz,59.9831,41.8167
RWA,Nyanza,Rwanda,225209,Nyanza,29.74,-2.3496
FIN,Tampere,Finland,225118,Tampere,23.76,61.4981
MDG,Toamasina,Madagascar,225116,Toamasina,49.4023,-18.1492
AUS,Hobart,Australia,222356,Hobart,147.325,-42.8806
GIN,Guéckédou,Guinea,221715,Gueckedou,-10.1333,8.5667
TUN,Sousse,Tunisia,221530,Sousse,10.6333,35.8333
DOM,La Vega,Dominican Republic,220279,La Vega,-70.5283,19.2242
ECU,Manta,Ecuador,217553,Manta,-80.7162,-0.95
CHL,Concepción,Chile,217537,Concepcion,-73.0503,-36.8271
UZB,Denov,Uzbekistan,217274,Denov,67.8872,38.2772
MLI,Sikasso,Mali,213977,Sikasso,-5.6667,11.3167
DZA,Sidi Bel Abbès,Algeria,212935,Sidi Bel Abbes,-0.6333,35.2
CMR,Limbe,Cameroon,212474,Limbe,9.2167,4.0167
BLR,Babruysk,Belarus,212200,Babruysk,29.2333,53.15
BGR,Burgas,Bulgaria,210720,Burgas,27.4702,42.503
CIV,San-Pédro,Côte d'Ivoire,210273,San-Pedro,-6.64,4.7704
ROU,Ploieşti,Romania,209945,Ploiesti,26.0225,44.9386
ISR,Beersheba,Israel,209000,Beersheba,34.7978,31.2589
TKM,Mary,Turkmenistan,208682,Mary,61.8333,37.6
IRL,Cork,Ireland,208669,Cork,-8.4731,51.9
MMR,Monywa,Myanmar,207489,Monywa,95.1358,22.1086
TZA,Morogoro,Tanzania,207000,Morogoro,37.6633,-6.8242
MOZ,Cidade de Nacala,Mozambique,206449,Cidade de Nacala,40.6833,-14.55
CHL,Talca,Chile,206069,Talca,-71.6656,-35.4269
TZA,Zanzibar,Tanzania,205870,Zanzibar,39.2,-6.1667
SEN,Ziguinchor,Senegal,205294,Ziguinchor,-16.2667,12.5833
AUT,Linz,Austria,204846,Linz,14.2833,48.3
DZA,Biskra,Algeria,204661,Biskra,5.7333,34.85
CHL,Coquimbo,Chile,204068,Coquimbo,-71.338,-29.9532
PAN,Colón,Panama,204000,Colon,-79.875,9.365
ZMB,Mazabuka,Zambia,203219,Mazabuka,27.7667,-15.8667
BEN,Djougou,Benin,202810,Djougou,1.68,9.7004
CHL,Arica,Chile,202131,Arica,-70.3211,-18.4784
CUB,Las Tunas,Cuba,202105,Las Tunas,-76.95,20.9667
LBY,Al Khums,Libya,201943,Al Khums,14.26,32.6604
CHE,Geneva,Switzerland,201818,Geneva,6.15,46.2
AFG,Lashkar Gāh,Afghanistan,201546,Lashkar Gah,64.3716,31.5938
NLD,Groningen,Netherlands,201462,Groningen,6.5667,53.2167
HUN,Debrecen,Hungary,200974,Debrecen,21.6392,47.53
FIN,Oulu,Finland,200526,Oulu,25.4719,65.0142
MRT,Néma,Mauritania,200000,Nema,-7.25,16.6171
ZMB,Kasama,Zambia,200000,Kasama,31.1799,-10.1996
AFG,Maīmanah,Afghanistan,199795,Maimanah,64.7701,35.9302
BIH,Banja Luka,Bosnia And Herzegovina,199191,Banja Luka,17.1833,44.7667
HND,La Ceiba,Honduras,196856,La Ceiba,-86.7878,15.78
BEL,Liège,Belgium,196623,Liege,5.5706,50.6397
ROU,Oradea,Romania,196367,Oradea,21.9211,47.0722
DOM,San Pedro de Macorís,Dominican Republic,195307,San Pedro de Macoris,-69.3061,18.4572
DZA,Tébessa,Algeria,194461,Tebessa,8.1167,35.4
KEN,Eldoret,Kenya,193830,Eldoret,35.2833,0.5167
MOZ,Quelimane,Mozambique,192876,Quelimane,36.8872,-17.8764
HTI,Cap-Haïtien,Haiti,190289,Cap-Haitien,-72.2,19.75
CMR,Ngaoundéré,Cameroon,189800,Ngaoundere,13.5839,7.3214
BOL,Potosí,Bolivia,189652,Potosi,-65.75,-19.5833
BEN,Parakou,Benin,188853,Parakou,2.62,9.34
CUB,Pinar del Río,Cuba,188614,Pinar del Rio,-83.6719,22.4122
SLE,Kenema,Sierra Leone,188463,Kenema,-11.1833,7.8833
ZWE,Mutare,Zimbabwe,188243,Mutare,32.6694,-18.9728
CHL,Iquique,Chile,188003,Iquique,-70.1524,-20.2141
ETH,Desē,Ethiopia,187900,Dese,39.6333,11.1333
LBY,Gharyān,Libya,187854,Gharyan,13.0167,32.1669
FIN,Turku,Finland,187604,Turku,22.27,60.4517
TUN,Kairouan,Tunisia,186653,Kairouan,10.1,35.6833
SOM,Jamaame,Somalia,185270,Jamaame,42.7506,0.0722
SSD,Yei,South Sudan,185000,Yei,30.68,4.0904
SYR,Al Qāmishlī,Syria,184231,Al Qamishli,41.2167,37.05
MDG,Fianarantsoa,Madagascar,184184,Fianarantsoa,47.0833,-21.4333
GIN,Siguiri,Guinea,183875,Siguiri,-9.1644,11.4189
NLD,Breda,Netherlands,183873,Breda,4.775,51.5875
NOR,Trondheim,Norway,183378,Trondheim,10.4,63.44
SRB,Niš,Serbia,183164,Nis,21.8961,43.3192
TJK,Khŭjand,Tajikistan,181600,Khujand,69.6167,40.2833
MMR,Sittwe,Myanmar,181000,Sittwe,92.8969,20.1444
GHA,Obuase,Ghana,180460,Obuase,-1.6833,6.2
BOL,Tarija,Bolivia,179528,Tarija,-64.7311,-21.5317
CIV,Divo,Côte d'Ivoire,179455,Divo,-5.3572,5.8372
OMN,Şalālah,Oman,178469,Salalah,54.0897,17.0197
HRV,Split,Croatia,178102,Split,16.45,43.51
ETH,Jīma,Ethiopia,177900,Jima,36.8333,7.6667
CHE,Basel,Switzerland,177827,Basel,7.5906,47.5606
NLD,Nijmegen,Netherlands,177659,Nijmegen,5.8625,51.8475
SEN,Saint-Louis,Senegal,176000,Saint-Louis,-16.5,16.0333
AFG,Shibirghān,Afghanistan,175599,Shibirghan,65.752,36.665
HTI,Les Cayes,Haiti,175457,Les Cayes,-73.75,18.2
CZE,Plzeň,Czechia,175219,Plzen,13.3825,49.7414
BLR,Baranavichy,Belarus,174183,Baranavichy,25.9833,53.1167
NIC,León,Nicaragua,174051,Leon,-86.8833,12.4333
SEN,Kaolack,Senegal,172305,Kaolack,-16.0764,14.1389
